,Type,Sex,Size,Age,Outcome Type,Intake Condition,First_Color,Second_Color,First Breed,Second Breed
9129,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
9130,DOG,Female,MED,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,TAN,LABRADOR RETR,AUST CATTLE DOG
9131,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,GRAY,,DOMESTIC SH,
9132,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
9133,CAT,Male,SMALL,10.01,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
9135,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,TREATABLE/REHAB,WHITE,Other,DOMESTIC SH,
9136,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
9137,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9139,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,TREATABLE/REHAB,BRN TABBY,,DOMESTIC SH,
9140,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
9141,CAT,Female,SMALL,1.0,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
9142,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9145,CAT,Female,KITTN OR PUPPY,0.42,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9147,DOG,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
9150,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9151,DOG,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
9152,DOG,Male,SMALL,0.99,ADOPTION,HEALTHY,TAN,BLACK,DACHSHUND,MIX
9157,DOG,Female,TOY,2.0,ADOPTION,HEALTHY,BLACK,,CHIHUAHUA SH,MIX
9158,DOG,Female,MED,1.92,ADOPTION,TREATABLE/REHAB,BROWN,,MIX,Other
9162,DOG,Female,TOY,0.33,ADOPTION,HEALTHY,BLACK,,CHIHUAHUA SH,MIX
9166,DOG,Female,TOY,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,TRICOLOR,,CHIHUAHUA SH,
9167,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,BROWN,BLACK,GERM SHEPHERD,
9169,DOG,Female,TOY,4.0,ADOPTION,HEALTHY,WHITE,Other,CHIHUAHUA SH,
9172,CAT,Male,KITTN OR PUPPY,0.24,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9173,DOG,Female,LARGE,2.64,EUTHANIZE,UNTREATABLE,BROWN,BLACK,GERM SHEPHERD,
9174,DOG,Male,LARGE,2.95,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
9182,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
9183,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
9184,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
9185,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
9188,DOG,Male,LARGE,3.54,EUTHANIZE,TREATABLE/MANAGEABLE,GRAY,,PIT BULL,
9189,DOG,Female,LARGE,1.98,EUTHANIZE,UNTREATABLE,WHITE,,SIBERIAN HUSKY,
9190,DOG,Male,MED,2.16,ADOPTION,HEALTHY,TAN,BROWN,BEAGLE,MIX
9197,CAT,Female,SMALL,10.01,EUTHANIZE,UNTREATABLE,TORTIE,BRN TABBY,DOMESTIC SH,
9204,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9205,DOG,Female,MED,3.27,ADOPTION,HEALTHY,WHITE,BR BRINDLE,PIT BULL,Other
9207,DOG,Male,LARGE,4.25,ADOPTION,HEALTHY,BLACK,,LABRADOR RETR,Other
9209,CAT,Male,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9210,DOG,Male,LARGE,1.98,EUTHANIZE,UNTREATABLE,GRAY,,PIT BULL,
9212,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
9213,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC LH,
9214,CAT,Male,SMALL,1.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9216,DOG,Female,SMALL,1.43,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,MIX
9218,DOG,Female,SMALL,1.95,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,MIX
9220,CAT,Female,KITTN OR PUPPY,0.08,ADOPTION,TREATABLE/REHAB,TORTIE,BRN TABBY,DOMESTIC SH,
9221,CAT,Female,SMALL,1.0,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9223,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,GRAY TABBY,,DOMESTIC SH,
9224,DOG,Female,LARGE,2.27,ADOPTION,HEALTHY,WHITE,BROWN,PIT BULL,Other
9225,DOG,Male,LARGE,1.66,ADOPTION,HEALTHY,Other,,PIT BULL,
9226,DOG,Female,LARGE,6.64,ADOPTION,HEALTHY,WHITE,BLACK,PIT BULL,
9234,DOG,Male,MED,2.0,EUTHANIZE,HEALTHY,WHITE,BLACK,BORDER COLLIE,
9235,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
9239,CAT,Unknown,SMALL,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC MH,
9240,CAT,Female,SMALL,1.84,ADOPTION,TREATABLE/REHAB,WHITE,Other,DOMESTIC MH,
9241,DOG,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,Other,,AUST SHEPHERD,MIX
9243,CAT,Male,SMALL,0.42,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
9245,DOG,Male,LARGE,1.01,ADOPTION,TREATABLE/MANAGEABLE,BROWN,,GERM SHEPHERD,MIX
9246,CAT,Male,KITTN OR PUPPY,0.04,ADOPTION,TREATABLE/REHAB,Other,,DOMESTIC MH,
9248,CAT,Male,SMALL,0.42,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9249,CAT,Male,KITTN OR PUPPY,0.04,ADOPTION,TREATABLE/REHAB,BLACK,,DOMESTIC MH,
9253,DOG,Female,SMALL,0.48,ADOPTION,HEALTHY,WHITE,BLACK,PARSON RUSS TER,MIX
9254,DOG,Male,SMALL,1.36,ADOPTION,HEALTHY,WHITE,BLACK,PUG,CHIHUAHUA SH
9256,CAT,Female,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,Other,,SIAMESE,
9258,CAT,Male,KITTN OR PUPPY,0.42,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
9260,CAT,Male,KITTN OR PUPPY,0.15,ADOPTION,HEALTHY,LYNX PT,,SIAMESE,
9262,CAT,Female,KITTN OR PUPPY,0.06,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
9263,CAT,Female,KITTN OR PUPPY,0.06,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
9264,CAT,Female,KITTN OR PUPPY,0.06,EUTHANIZE,UNTREATABLE,WHITE,BRN TABBY,DOMESTIC SH,
9269,CAT,Female,MED,0.15,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
9270,CAT,Female,KITTN OR PUPPY,0.23,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC MH,
9271,DOG,Male,SMALL,2.97,ADOPTION,HEALTHY,WHITE,BLACK,CHIHUAHUA SH,MIX
9272,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
9273,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
9274,CAT,Male,KITTN OR PUPPY,0.11,ADOPTION,TREATABLE/REHAB,WHITE,BRN TABBY,DOMESTIC SH,
9275,CAT,Female,KITTN OR PUPPY,0.11,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
9277,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
9278,CAT,Male,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
9279,CAT,Female,KITTN OR PUPPY,0.11,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
9281,DOG,Female,MED,1.43,EUTHANIZE,UNTREATABLE,WHITE,TAN,PIT BULL,MIX
9282,DOG,Male,MED,1.43,EUTHANIZE,UNTREATABLE,WHITE,BROWN,PIT BULL,MIX
9283,CAT,Female,SMALL,1.91,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
9284,CAT,Male,KITTN OR PUPPY,0.11,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,DOMESTIC SH,
9287,CAT,Female,SMALL,9.58,ADOPTION,HEALTHY,CALICO,,DOMESTIC SH,
9288,DOG,Female,LARGE,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,BLACK,,GERM SHEPHERD,
9290,CAT,Male,KITTN OR PUPPY,0.16,ADOPTION,TREATABLE/REHAB,GRAY,,DOMESTIC SH,
9291,DOG,Female,TOY,2.97,ADOPTION,TREATABLE/REHAB,TAN,BLACK,CHIHUAHUA LH,
9293,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
9294,CAT,Female,SMALL,7.01,EUTHANIZE,UNTREATABLE,WHITE,,DOMESTIC MH,
9295,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
9296,CAT,Female,SMALL,8.01,EUTHANIZE,UNTREATABLE,WHITE,,DOMESTIC MH,
9297,CAT,Female,SMALL,9.01,EUTHANIZE,UNTREATABLE,CALICO,Other,DOMESTIC SH,
9298,CAT,Male,SMALL,0.48,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
9299,CAT,Female,KITTN OR PUPPY,0.16,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
9300,DOG,Male,MED,2.57,ADOPTION,HEALTHY,WHITE,BROWN,MIX,Other
9301,CAT,Female,SMALL,0.42,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9302,CAT,Male,SMALL,0.56,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
9303,CAT,Male,SMALL,0.15,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
9304,CAT,Male,SMALL,0.15,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC MH,
9305,CAT,Male,SMALL,0.56,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
9306,CAT,Female,SMALL,0.17,ADOPTION,HEALTHY,Other,,DOMESTIC SH,
9307,CAT,Female,SMALL,0.13,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
9308,CAT,Male,SMALL,0.15,ADOPTION,HEALTHY,GRAY,,DOMESTIC SH,
9309,CAT,Female,SMALL,1.0,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9311,CAT,Male,SMALL,0.48,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
9312,CAT,Male,SMALL,0.15,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC SH,
9313,CAT,Male,SMALL,0.48,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC MH,
9315,DOG,Male,LARGE,2.0,EUTHANIZE,TREATABLE/MANAGEABLE,BLACK,,LABRADOR RETR,MIX
9316,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,TORTIE,,DOMESTIC SH,
9318,CAT,Male,SMALL,0.27,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9319,CAT,Male,KITTN OR PUPPY,0.24,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9323,DOG,Male,LARGE,1.0,ADOPTION,HEALTHY,RED,BLACK,ROTTWEILER,MIX
9324,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,WHITE,Other,SIAMESE,MIX
9328,DOG,Female,LARGE,11.87,ADOPTION,TREATABLE/MANAGEABLE,BLACK,,LABRADOR RETR,MIX
9329,DOG,Male,SMALL,2.92,ADOPTION,HEALTHY,WHITE,,MALTESE,MIX
9331,DOG,Male,LARGE,3.9,ADOPTION,TREATABLE/MANAGEABLE,WHITE,Other,PIT BULL,
9333,DOG,Male,SMALL,0.42,EUTHANIZE,UNTREATABLE,BROWN,,CHIHUAHUA SH,
9334,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
9337,DOG,Female,MED,2.95,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
9341,DOG,Female,MED,2.92,ADOPTION,TREATABLE/REHAB,WHITE,TAN,PIT BULL,BOXER
9343,DOG,Female,LARGE,3.51,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
9344,DOG,Male,SMALL,11.99,EUTHANIZE,HEALTHY,WHITE,TAN,CHIHUAHUA SH,
9347,CAT,Male,KITTN OR PUPPY,0.21,ADOPTION,TREATABLE/REHAB,WHITE,Other,DOMESTIC SH,
9348,DOG,Female,TOY,0.75,ADOPTION,HEALTHY,WHITE,BLACK,CHIHUAHUA SH,
9349,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,CALICO,,DOMESTIC SH,
9350,DOG,Male,SMALL,1.98,ADOPTION,HEALTHY,Other,,POODLE MIN,MIX
9351,DOG,Male,SMALL,8.01,ADOPTION,TREATABLE/REHAB,WHITE,,POODLE MIN,MIX
9353,DOG,Male,MED,1.97,ADOPTION,HEALTHY,TAN,BLACK,GERM SHEPHERD,
9356,CAT,Male,KITTN OR PUPPY,0.21,ADOPTION,TREATABLE/REHAB,ORG TABBY,,DOMESTIC SH,
9362,CAT,Male,SMALL,0.67,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9368,DOG,Female,SMALL,7.08,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BLACK,PUG,BEAGLE
9371,DOG,Male,TOY,1.98,EUTHANIZE,UNTREATABLE,TAN,BLACK,MIX,Other
9372,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
9373,DOG,Female,SMALL,3.59,ADOPTION,TREATABLE/MANAGEABLE,WHITE,,Other,
9374,CAT,Male,SMALL,6.97,ADOPTION,HEALTHY,BLACK,,DOMESTIC LH,
9382,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,WHITE,GRAY,DOMESTIC SH,
9383,DOG,Female,SMALL,0.63,ADOPTION,TREATABLE/REHAB,WHITE,,MALTESE,
9384,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
9385,DOG,Male,SMALL,3.94,EUTHANIZE,TREATABLE/MANAGEABLE,TAN,BLACK,CHIHUAHUA LH,MIX
9386,DOG,Female,MED,0.5,ADOPTION,HEALTHY,TRICOLOR,,MALTESE,LABRADOR RETR
9388,DOG,Female,LARGE,2.45,ADOPTION,HEALTHY,TAN,BLACK,GERM SHEPHERD,
9389,DOG,Female,MED,0.5,ADOPTION,HEALTHY,WHITE,BLACK,MALTESE,LABRADOR RETR
9390,DOG,Male,MED,0.5,ADOPTION,HEALTHY,WHITE,BLACK,MALTESE,MIX
9392,DOG,Male,MED,0.5,ADOPTION,HEALTHY,TAN,BLACK,MALTESE,LABRADOR RETR
9401,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,Other,DOMESTIC SH,
9402,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,BLACK,Other,DOMESTIC SH,
9404,CAT,Female,KITTN OR PUPPY,0.17,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
9405,CAT,Male,KITTN OR PUPPY,0.19,ADOPTION,HEALTHY,BLACK,,DOMESTIC SH,
9409,CAT,Unknown,KITTN OR PUPPY,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
9410,DOG,Male,TOY,1.17,ADOPTION,HEALTHY,WHITE,TAN,Other,CHIHUAHUA LH
9411,CAT,Female,SMALL,0.5,ADOPTION,TREATABLE/MANAGEABLE,TORTIE,,DOMESTIC SH,
9415,DOG,Male,TOY,2.0,ADOPTION,HEALTHY,TAN,,YORKSHIRE TERR,Other
9416,DOG,Male,TOY,2.0,ADOPTION,HEALTHY,TAN,BLACK,CHIHUAHUA LH,MIX
9422,CAT,Male,SMALL,4.92,ADOPTION,HEALTHY,GRAY,,DOMESTIC LH,
9423,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC LH,
9425,DOG,Male,SMALL,4.0,ADOPTION,TREATABLE/REHAB,GRAY,,SCHNAUZER MIN,
9426,CAT,Female,SMALL,4.92,ADOPTION,HEALTHY,WHITE,GRAY,DOMESTIC MH,
9428,DOG,Male,LARGE,2.53,ADOPTION,HEALTHY,WHITE,BLACK,LABRADOR RETR,MIX
9430,CAT,Male,SMALL,0.25,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9431,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,BLACK,,DOMESTIC SH,
9432,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,ORG TABBY,,DOMESTIC SH,
9434,DOG,Female,TOY,3.02,ADOPTION,HEALTHY,TAN,BLACK,CHIHUAHUA LH,
9436,DOG,Female,SMALL,2.02,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,MIX
9438,DOG,Male,KITTN OR PUPPY,0.19,ADOPTION,HEALTHY,TAN,Other,DOBERMAN PINSCH,MIX
9439,CAT,Male,SMALL,6.0,ADOPTION,HEALTHY,Other,,SIAMESE,
9440,DOG,Female,KITTN OR PUPPY,0.19,ADOPTION,HEALTHY,BLACK,,DOBERMAN PINSCH,MIX
9442,DOG,Female,MED,0.75,EUTHANIZE,UNTREATABLE,WHITE,BLACK,PARSON RUSS TER,MIX
9443,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,BROWN,PIT BULL,BOXER
9446,DOG,Male,SMALL,0.99,ADOPTION,HEALTHY,WHITE,BROWN,PARSON RUSS TER,CHIHUAHUA SH
9447,CAT,Female,SMALL,1.05,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BRN TABBY,DOMESTIC SH,
9448,CAT,Female,SMALL,2.49,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
9449,CAT,Male,KITTN OR PUPPY,0.32,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC MH,
9452,DOG,Female,SMALL,0.99,ADOPTION,HEALTHY,WHITE,TAN,PARSON RUSS TER,CHIHUAHUA SH
9453,DOG,Male,SMALL,0.99,ADOPTION,HEALTHY,WHITE,Other,PARSON RUSS TER,CHIHUAHUA SH
9454,DOG,Female,SMALL,0.25,ADOPTION,TREATABLE/REHAB,WHITE,Other,CHIHUAHUA SH,MIX
9458,DOG,Female,SMALL,0.99,ADOPTION,HEALTHY,WHITE,BROWN,PARSON RUSS TER,CHIHUAHUA SH
9461,DOG,Male,MED,2.25,ADOPTION,HEALTHY,TAN,BROWN,BEAGLE,MIX
9463,DOG,Female,MED,4.0,ADOPTION,HEALTHY,RED,,MIX,Other
9465,DOG,Male,LARGE,0.17,ADOPTION,HEALTHY,WHITE,BR BRINDLE,MIX,Other
9466,DOG,Male,MED,1.89,EUTHANIZE,HEALTHY,WHITE,BLACK,PIT BULL,
9470,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,GRAY TABBY,,DOMESTIC SH,
9476,CAT,Female,KITTN OR PUPPY,0.21,ADOPTION,HEALTHY,ORG TABBY,,DOMESTIC SH,
9477,CAT,Female,SMALL,11.48,EUTHANIZE,UNTREATABLE,WHITE,,DOMESTIC SH,
9478,DOG,Female,LARGE,2.0,ADOPTION,HEALTHY,TAN,BLACK,GERM SHEPHERD,
9479,CAT,Female,SMALL,0.6,ADOPTION,HEALTHY,WHITE,Other,DOMESTIC SH,
9480,DOG,Female,SMALL,0.62,ADOPTION,HEALTHY,TAN,,CHIHUAHUA SH,MIX
9482,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,GRAY,,DOMESTIC SH,
9488,DOG,Male,MED,1.41,EUTHANIZE,HEALTHY,WHITE,BR BRINDLE,PIT BULL,MIX
9491,DOG,Male,MED,0.54,ADOPTION,HEALTHY,TAN,BLACK,MALTESE,LABRADOR RETR
9497,DOG,Male,MED,0.37,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,BORDER COLLIE,MIX
9499,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,ORG TABBY,,DOMESTIC SH,
9501,CAT,Male,LARGE,8.01,ADOPTION,TREATABLE/MANAGEABLE,LYNX PT,,SIAMESE,MIX
9502,DOG,Female,KITTN OR PUPPY,0.13,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,PIT BULL,MIX
9503,DOG,Female,KITTN OR PUPPY,0.13,ADOPTION,TREATABLE/REHAB,WHITE,TAN,PIT BULL,MIX
9504,DOG,Male,KITTN OR PUPPY,0.13,ADOPTION,UNTREATABLE,WHITE,BLACK,PIT BULL,MIX
9505,DOG,Male,KITTN OR PUPPY,0.13,ADOPTION,TREATABLE/REHAB,BR BRINDLE,,PIT BULL,MIX
9506,DOG,Male,KITTN OR PUPPY,0.13,ADOPTION,TREATABLE/REHAB,WHITE,BLACK,PIT BULL,MIX
9507,DOG,Male,LARGE,10.01,ADOPTION,TREATABLE/MANAGEABLE,WHITE,TAN,PIT BULL,MIX
9508,DOG,Male,LARGE,0.13,ADOPTION,HEALTHY,WHITE,Other,PIT BULL,MIX
9509,DOG,Female,MED,0.14,ADOPTION,TREATABLE/REHAB,BR BRINDLE,,BOXER,MIX
9510,DOG,Female,MED,2.0,ADOPTION,HEALTHY,WHITE,BROWN,PIT BULL,MIX
9511,DOG,Male,LARGE,11.01,ADOPTION,TREATABLE/MANAGEABLE,WHITE,GRAY,PIT BULL,
9513,DOG,Male,KITTN OR PUPPY,0.13,ADOPTION,HEALTHY,WHITE,TAN,PIT BULL,MIX
9514,DOG,Female,KITTN OR PUPPY,0.13,ADOPTION,TREATABLE/REHAB,WHITE,BR BRINDLE,PIT BULL,MIX
9516,DOG,Male,LARGE,1.98,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,GRAY,PIT BULL,
9520,DOG,Male,LARGE,7.99,ADOPTION,TREATABLE/REHAB,BLACK,Other,Other,BOXER
9524,DOG,Female,TOY,3.0,ADOPTION,HEALTHY,WHITE,,CHIHUAHUA SH,
9528,CAT,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,BRN TABBY,,Other,
9531,DOG,Male,KITTN OR PUPPY,0.34,EUTHANIZE,UNTREATABLE,WHITE,TAN,PIT BULL,
9532,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
9534,CAT,Male,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,GRAY TABBY,,DOMESTIC SH,
9536,CAT,Female,KITTN OR PUPPY,0.2,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9539,CAT,Male,SMALL,3.21,ADOPTION,TREATABLE/MANAGEABLE,WHITE,BRN TABBY,DOMESTIC SH,
9542,DOG,Female,LARGE,3.0,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
9543,DOG,Male,SMALL,1.98,EUTHANIZE,UNTREATABLE,BROWN,BLACK,MIX,Other
9544,DOG,Unknown,SMALL,3.0,EUTHANIZE,UNTREATABLE,WHITE,,MIX,Other
9545,CAT,Male,KITTN OR PUPPY,0.34,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9547,CAT,Male,KITTN OR PUPPY,0.34,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9548,CAT,Female,KITTN OR PUPPY,0.34,ADOPTION,HEALTHY,WHITE,BRN TABBY,DOMESTIC SH,
9552,CAT,Female,KITTN OR PUPPY,0.34,ADOPTION,HEALTHY,WHITE,BLACK,DOMESTIC SH,
9553,DOG,Female,MED,0.73,ADOPTION,HEALTHY,WHITE,,MIX,Other
9556,CAT,Female,SMALL,6.01,EUTHANIZE,UNTREATABLE,BRN TABBY,,DOMESTIC SH,
9566,CAT,Male,SMALL,4.0,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC MH,
9568,DOG,Male,MED,1.47,ADOPTION,TREATABLE/REHAB,TAN,BLACK,GERM SHEPHERD,
9569,DOG,Male,LARGE,1.35,EUTHANIZE,TREATABLE/MANAGEABLE,WHITE,BROWN,PIT BULL,LABRADOR RETR
9573,DOG,Male,LARGE,2.0,EUTHANIZE,UNTREATABLE,TAN,,PIT BULL,
9574,DOG,Female,LARGE,1.59,EUTHANIZE,UNTREATABLE,TAN,BLACK,GERM SHEPHERD,
9575,DOG,Male,SMALL,1.44,ADOPTION,TREATABLE/REHAB,BROWN,BROWN,CHIHUAHUA SH,MIX
9579,DOG,Male,MED,1.98,EUTHANIZE,UNTREATABLE,WHITE,GRAY,PIT BULL,
9580,CAT,Female,SMALL,1.98,EUTHANIZE,UNTREATABLE,WHITE,BLACK,DOMESTIC SH,
9581,DOG,Female,SMALL,5.93,ADOPTION,HEALTHY,WHITE,,POODLE MIN,
9582,DOG,Male,MED,2.96,ADOPTION,HEALTHY,WHITE,BLACK,BORDER COLLIE,
9583,DOG,Male,SMALL,5.39,EUTHANIZE,UNTREATABLE,Other,,SHIH TZU,MALTESE
9585,DOG,Female,SMALL,13.0,EUTHANIZE,UNTREATABLE,WHITE,,POMERANIAN,
9587,DOG,Female,LARGE,1.96,ADOPTION,TREATABLE/REHAB,BLACK,,GERM SHEPHERD,
9590,DOG,Female,SMALL,0.98,ADOPTION,HEALTHY,BROWN,,CHIHUAHUA SH,
9592,CAT,Female,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
9593,CAT,Male,KITTN OR PUPPY,0.25,ADOPTION,HEALTHY,BRN TABBY,,DOMESTIC SH,
9594,DOG,Female,SMALL,0.98,ADOPTION,HEALTHY,WHITE,BROWN,CHIHUAHUA SH,
9596,DOG,Female,MED,0.98,ADOPTION,HEALTHY,TRICOLOR,,AUST SHEPHERD,MIX
9598,CAT,Female,SMALL,11.01,EUTHANIZE,UNTREATABLE,WHITE,GRAY,DOMESTIC SH,
9599,DOG,Female,SMALL,1.0,ADOPTION,HEALTHY,TAN,,MIX,Other
